"","idbs","timepoint","child","code"
"pn56_se1g_555_e",555,"pn56","yes","A Y"
"pn56_se1g_555",555,"pn56","no","A Y"
"tri3_se1g_555",555,"tri3","no","A Y"
"pn12_se1g_555",555,"pn12","no","A Y"
"pn12_se1g_555_e",555,"pn12","yes","A Y"
"pn12_se1g_556_e",556,"pn12","yes","B Z"
"pn56_se1g_556",556,"pn56","no","B Z"
"tri3_se1g_556",556,"tri3","no","B Z"
"pn56_se1g_556_e",556,"pn56","yes","B Z"
"pn12_se1g_556",556,"pn12","no","B Z"
"tri3_se1g_558",558,"tri3","no","A Y"
"pn56_se1g_558",558,"pn56","no","A Y"
"pn12_se1g_558_e",558,"pn12","yes","A Y"
"pn56_se1g_558_e",558,"pn56","yes","A Y"
"pn12_se1g_558",558,"pn12","no","A Y"
"pn56_se1g_559_e",559,"pn56","yes","B Z"
"pn56_se1g_559",559,"pn56","no","B Z"
"pn12_se1g_559",559,"pn12","no","B Z"
"tri3_se1g_559",559,"tri3","no","B Z"
"pn56_se1g_561",561,"pn56","no","B Z"
"tri3_se1g_561",561,"tri3","no","B Z"
"pn12_se1g_561",561,"pn12","no","B Z"
"pn12_se1g_561_e",561,"pn12","yes","B Z"
"pn56_se1g_561_e",561,"pn56","yes","B Z"
"pn12_se1g_563",563,"pn12","no","A Y"
"pn56_se1g_563",563,"pn56","no","A Y"
"pn56_se1g_563_e",563,"pn56","yes","A Y"
"tri3_se1g_563",563,"tri3","no","A Y"
"tri3_se1g_564",564,"tri3","no","B Z"
"pn56_se1g_564_e",564,"pn56","yes","B Z"
"pn12_se1g_564_e",564,"pn12","yes","B Z"
"pn56_se1g_564",564,"pn56","no","B Z"
"pn12_se1g_564",564,"pn12","no","B Z"
"pn12_se1g_566",566,"pn12","no","A Y"
"pn12_se1g_566_e",566,"pn12","yes","A Y"
"pn56_se1g_566_e",566,"pn56","yes","A Y"
"pn56_se1g_566",566,"pn56","no","A Y"
"tri3_se1g_566",566,"tri3","no","A Y"
"pn56_se1g_568",568,"pn56","no","A Y"
"pn12_se1g_568",568,"pn12","no","A Y"
"pn12_se1g_568_e",568,"pn12","yes","A Y"
"pn56_se1g_568_e",568,"pn56","yes","A Y"
"incl_se1g_607",607,"incl","no","A Y"
"pn12_se1g_607",607,"pn12","no","A Y"
"pn56_se1g_607_e",607,"pn56","yes","A Y"
"pn56_se1g_607",607,"pn56","no","A Y"
"pn12_se1g_607_e",607,"pn12","yes","A Y"
"tri3_se1g_607",607,"tri3","no","A Y"
"pn12_se1g_611_e",611,"pn12","yes","B Z"
"incl_se1g_611",611,"incl","no","B Z"
"pn56_se1g_611_e",611,"pn56","yes","B Z"
"pn12_se1g_611",611,"pn12","no","B Z"
"tri3_se1g_611",611,"tri3","no","B Z"
"pn56_se1g_611",611,"pn56","no","B Z"
"incl_se1g_614",614,"incl","no","A Y"
"pn56_se1g_614_e",614,"pn56","yes","A Y"
"tri3_se1g_614",614,"tri3","no","A Y"
"pn12_se1g_614_e",614,"pn12","yes","A Y"
"pn12_se1g_614",614,"pn12","no","A Y"
"pn56_se1g_614",614,"pn56","no","A Y"
"pn56_se1g_615_e",615,"pn56","yes","B Z"
"incl_se1g_615",615,"incl","no","B Z"
"pn56_se1g_615",615,"pn56","no","B Z"
"tri3_se1g_615",615,"tri3","no","B Z"
"pn12_se1g_615_e",615,"pn12","yes","B Z"
"tri3_se1g_622",622,"tri3","no","A Y"
"pn12_se1g_622",622,"pn12","no","A Y"
"pn12_se1g_622_e",622,"pn12","yes","A Y"
"incl_se1g_622",622,"incl","no","A Y"
"pn56_se1g_622_e",622,"pn56","yes","A Y"
"pn56_se1g_622",622,"pn56","no","A Y"
"pn12_se1g_624",624,"pn12","no","A Y"
"tri3_se1g_624",624,"tri3","no","A Y"
"pn12_se1g_624_e",624,"pn12","yes","A Y"
"incl_se1g_624",624,"incl","no","A Y"
"pn56_se1g_625",625,"pn56","no","A Y"
"pn12_se1g_625_e",625,"pn12","yes","A Y"
"pn56_se1g_625_e",625,"pn56","yes","A Y"
"tri3_se1g_625",625,"tri3","no","A Y"
"pn12_se1g_625",625,"pn12","no","A Y"
"tri3_se1g_626",626,"tri3","no","A Y"
"pn56_se1g_627",627,"pn56","no","A Y"
"tri3_se1g_627",627,"tri3","no","A Y"
"pn12_se1g_627",627,"pn12","no","A Y"
"incl_se1g_627",627,"incl","no","A Y"
"pn56_se1g_627_e",627,"pn56","yes","A Y"
"pn12_se1g_627_e",627,"pn12","yes","A Y"
"incl_se1g_628",628,"incl","no","B Z"
"tri3_se1g_628",628,"tri3","no","B Z"
"pn56_se1g_628",628,"pn56","no","B Z"
"pn56_se1g_628_e",628,"pn56","yes","B Z"
"pn12_se1g_628_e",628,"pn12","yes","B Z"
"pn12_se1g_628",628,"pn12","no","B Z"
"pn56_se1g_630_e",630,"pn56","yes","A Y"
"pn56_se1g_630",630,"pn56","no","A Y"
"pn12_se1g_630",630,"pn12","no","A Y"
"pn12_se1g_630_e",630,"pn12","yes","A Y"
"tri3_se1g_630",630,"tri3","no","A Y"
"pn12_se1g_631",631,"pn12","no","B Z"
"pn56_se1g_631",631,"pn56","no","B Z"
"pn12_se1g_631_e",631,"pn12","yes","B Z"
"tri3_se1g_631",631,"tri3","no","B Z"
"tri3_se1g_632",632,"tri3","no","A Y"
"pn12_se1g_632",632,"pn12","no","A Y"
"pn56_se1g_632",632,"pn56","no","A Y"
"pn56_se1g_632_e",632,"pn56","yes","A Y"
"pn12_se1g_632_e",632,"pn12","yes","A Y"
"pn56_se1g_633_e",633,"pn56","yes","A Y"
"tri3_se1g_633",633,"tri3","no","A Y"
"pn12_se1g_633",633,"pn12","no","A Y"
"pn56_se1g_633",633,"pn56","no","A Y"
"pn12_se1g_633_e",633,"pn12","yes","A Y"
"pn12_se1g_636_e",636,"pn12","yes","B Z"
"pn12_se1g_636",636,"pn12","no","B Z"
"pn56_se1g_636",636,"pn56","no","B Z"
"pn56_se1g_636_e",636,"pn56","yes","B Z"
"tri3_se1g_636",636,"tri3","no","B Z"
"pn56_se1g_638_e",638,"pn56","yes","A Y"
"tri3_se1g_638",638,"tri3","no","A Y"
"pn56_se1g_638",638,"pn56","no","A Y"
"pn12_se1g_638_e",638,"pn12","yes","A Y"
"pn12_se1g_638",638,"pn12","no","A Y"
"pn12_se1g_639",639,"pn12","no","B Z"
"pn56_se1g_639",639,"pn56","no","B Z"
"pn12_se1g_639_e",639,"pn12","yes","B Z"
"pn56_se1g_639_e",639,"pn56","yes","B Z"
"tri3_se1g_639",639,"tri3","no","B Z"
"pn56_se1g_641_e",641,"pn56","yes","B Z"
"pn12_se1g_641_e",641,"pn12","yes","B Z"
"tri3_se1g_641",641,"tri3","no","B Z"
"pn12_se1g_641",641,"pn12","no","B Z"
"pn56_se1g_641",641,"pn56","no","B Z"
"pn12_se1g_643_e",643,"pn12","yes","A Y"
"tri3_se1g_643",643,"tri3","no","A Y"
"pn12_se1g_643",643,"pn12","no","A Y"
"pn56_se1g_643",643,"pn56","no","A Y"
"pn56_se1g_643_e",643,"pn56","yes","A Y"
"pn56_se1g_644",644,"pn56","no","B Z"
"pn12_se1g_644",644,"pn12","no","B Z"
"tri3_se1g_644",644,"tri3","no","B Z"
"pn12_se1g_644_e",644,"pn12","yes","B Z"
"pn56_se1g_644_e",644,"pn56","yes","B Z"
"pn56_se1g_645_e",645,"pn56","yes","A Y"
"tri3_se1g_645",645,"tri3","no","A Y"
"pn12_se1g_645_e",645,"pn12","yes","A Y"
"pn56_se1g_645",645,"pn56","no","A Y"
"pn12_se1g_645",645,"pn12","no","A Y"
"tri3_se1g_648",648,"tri3","no","B Z"
"pn56_se1g_648_e",648,"pn56","yes","B Z"
"pn12_se1g_648",648,"pn12","no","B Z"
"pn56_se1g_648",648,"pn56","no","B Z"
"pn12_se1g_648_e",648,"pn12","yes","B Z"
"pn56_se1g_651",651,"pn56","no","B Z"
"pn56_se1g_651_e",651,"pn56","yes","B Z"
"pn12_se1g_651",651,"pn12","no","B Z"
"tri3_se1g_651",651,"tri3","no","B Z"
"pn12_se1g_651_e",651,"pn12","yes","B Z"
"pn56_se1g_652",652,"pn56","no","A Y"
"pn12_se1g_652_e",652,"pn12","yes","A Y"
"pn12_se1g_652",652,"pn12","no","A Y"
"tri3_se1g_652",652,"tri3","no","A Y"
"pn56_se1g_652_e",652,"pn56","yes","A Y"
"tri3_se1g_656",656,"tri3","no","A Y"
"pn56_se1g_658",658,"pn56","no","A Y"
"pn12_se1g_658",658,"pn12","no","A Y"
"pn12_se1g_658_e",658,"pn12","yes","A Y"
"pn56_se1g_658_e",658,"pn56","yes","A Y"
"tri3_se1g_658",658,"tri3","no","A Y"
"pn12_se1g_660_e",660,"pn12","yes","A Y"
"pn12_se1g_660",660,"pn12","no","A Y"
"pn56_se1g_660_e",660,"pn56","yes","A Y"
"tri3_se1g_660",660,"tri3","no","A Y"
"pn56_se1g_660",660,"pn56","no","A Y"
"pn56_se1g_661",661,"pn56","no","A Y"
"tri3_se1g_661",661,"tri3","no","A Y"
"pn12_se1g_661",661,"pn12","no","A Y"
"pn12_se1g_661_e",661,"pn12","yes","A Y"
"pn56_se1g_661_e",661,"pn56","yes","A Y"
"pn12_se1g_663_e",663,"pn12","yes","A Y"
"pn56_se1g_663_e",663,"pn56","yes","A Y"
"tri3_se1g_663",663,"tri3","no","A Y"
"pn56_se1g_663",663,"pn56","no","A Y"
"pn12_se1g_663",663,"pn12","no","A Y"
"pn56_se1g_664_e",664,"pn56","yes","B Z"
"pn56_se1g_664",664,"pn56","no","B Z"
"tri3_se1g_664",664,"tri3","no","B Z"
"pn12_se1g_664_e",664,"pn12","yes","B Z"
"pn12_se1g_664",664,"pn12","no","B Z"
