,database,group,anno
3007199,CARD,antibiotic inactivation,3007199
3007200,CARD,antibiotic inactivation,3007200
3007201,CARD,antibiotic inactivation,3007201
3007204,CARD,antibiotic inactivation,3007204
3007206,CARD,antibiotic inactivation,3007206
3007208,CARD,antibiotic target protection,3007208
3007209,CARD,antibiotic inactivation,3007209
3007210,CARD,antibiotic inactivation,3007210
AA1_0,CAZyme,AA,AA1_0
AA1_2,CAZyme,AA,AA1_2
AA10_0,CAZyme,AA,AA10_0
AA11_0,CAZyme,AA,AA11_0
AA12_0,CAZyme,AA,AA12_0
AA14_0,CAZyme,AA,AA14_0
AA15_0,CAZyme,AA,AA15_0
AA16_0,CAZyme,AA,AA16_0
AA2_0,CAZyme,AA,AA2_0
AA3_0,CAZyme,AA,AA3_0
AA3_2,CAZyme,AA,AA3_2
AA4_0,CAZyme,AA,AA4_0
AA6_0,CAZyme,AA,AA6_0
AA7_0,CAZyme,AA,AA7_0
AA8_0,CAZyme,AA,AA8_0
CBM1_0,CAZyme,CBM,CBM1_0
CBM10_0,CAZyme,CBM,CBM10_0
CBM11_0,CAZyme,CBM,CBM11_0
CBM12_0,CAZyme,CBM,CBM12_0
CBM13_0,CAZyme,CBM,CBM13_0
CBM14_0,CAZyme,CBM,CBM14_0
CBM15_0,CAZyme,CBM,CBM15_0
CBM16_0,CAZyme,CBM,CBM16_0
CBM17_0,CAZyme,CBM,CBM17_0
CBM19_0,CAZyme,CBM,CBM19_0
CBM2_0,CAZyme,CBM,CBM2_0
CBM20_0,CAZyme,CBM,CBM20_0
CBM21_0,CAZyme,CBM,CBM21_0
CBM22_0,CAZyme,CBM,CBM22_0
CBM23_0,CAZyme,CBM,CBM23_0
CBM24_0,CAZyme,CBM,CBM24_0
CBM25_0,CAZyme,CBM,CBM25_0
CBM26_0,CAZyme,CBM,CBM26_0
CBM27_0,CAZyme,CBM,CBM27_0
CBM28_0,CAZyme,CBM,CBM28_0
CBM29_0,CAZyme,CBM,CBM29_0
CBM3_0,CAZyme,CBM,CBM3_0
CBM30_0,CAZyme,CBM,CBM30_0
CBM31_0,CAZyme,CBM,CBM31_0
CBM32_0,CAZyme,CBM,CBM32_0
CBM34_0,CAZyme,CBM,CBM34_0
CBM35_0,CAZyme,CBM,CBM35_0
CBM36_0,CAZyme,CBM,CBM36_0
CBM37_0,CAZyme,CBM,CBM37_0
CBM38_0,CAZyme,CBM,CBM38_0
CBM39_0,CAZyme,CBM,CBM39_0
CBM4_0,CAZyme,CBM,CBM4_0
CBM40_0,CAZyme,CBM,CBM40_0
CBM41_0,CAZyme,CBM,CBM41_0
CBM42_0,CAZyme,CBM,CBM42_0
CBM43_0,CAZyme,CBM,CBM43_0
CBM44_0,CAZyme,CBM,CBM44_0
CBM46_0,CAZyme,CBM,CBM46_0
CBM47_0,CAZyme,CBM,CBM47_0
CBM48_0,CAZyme,CBM,CBM48_0
CBM49_0,CAZyme,CBM,CBM49_0
CBM5_0,CAZyme,CBM,CBM5_0
CBM50_0,CAZyme,CBM,CBM50_0
CBM51_0,CAZyme,CBM,CBM51_0
CBM53_0,CAZyme,CBM,CBM53_0
CBM54_0,CAZyme,CBM,CBM54_0
CBM56_0,CAZyme,CBM,CBM56_0
CBM57_0,CAZyme,CBM,CBM57_0
CBM58_0,CAZyme,CBM,CBM58_0
CBM59_0,CAZyme,CBM,CBM59_0
CBM6_0,CAZyme,CBM,CBM6_0
CBM60_0,CAZyme,CBM,CBM60_0
CBM61_0,CAZyme,CBM,CBM61_0
CBM62_0,CAZyme,CBM,CBM62_0
CBM63_0,CAZyme,CBM,CBM63_0
CBM64_0,CAZyme,CBM,CBM64_0
CBM65_0,CAZyme,CBM,CBM65_0
CBM66_0,CAZyme,CBM,CBM66_0
CBM67_0,CAZyme,CBM,CBM67_0
CBM68_0,CAZyme,CBM,CBM68_0
CBM69_0,CAZyme,CBM,CBM69_0
CBM70_0,CAZyme,CBM,CBM70_0
CBM71_0,CAZyme,CBM,CBM71_0
CBM72_0,CAZyme,CBM,CBM72_0
CBM73_0,CAZyme,CBM,CBM73_0
CBM74_0,CAZyme,CBM,CBM74_0
CBM75_0,CAZyme,CBM,CBM75_0
CBM76_0,CAZyme,CBM,CBM76_0
CBM77_0,CAZyme,CBM,CBM77_0
CBM78_0,CAZyme,CBM,CBM78_0
CBM79_0,CAZyme,CBM,CBM79_0
CBM8_0,CAZyme,CBM,CBM8_0
CBM80_0,CAZyme,CBM,CBM80_0
CBM81_0,CAZyme,CBM,CBM81_0
CBM82_0,CAZyme,CBM,CBM82_0
CBM83_0,CAZyme,CBM,CBM83_0
CBM84_0,CAZyme,CBM,CBM84_0
CBM85_0,CAZyme,CBM,CBM85_0
CBM86_0,CAZyme,CBM,CBM86_0
CBM87_0,CAZyme,CBM,CBM87_0
CBM88_0,CAZyme,CBM,CBM88_0
CBM89_0,CAZyme,CBM,CBM89_0
CBM9_0,CAZyme,CBM,CBM9_0
CBM90_0,CAZyme,CBM,CBM90_0
CBM91_0,CAZyme,CBM,CBM91_0
CE1_0,CAZyme,CE,CE1_0
CE11_0,CAZyme,CE,CE11_0
CE12_0,CAZyme,CE,CE12_0
CE13_0,CAZyme,CE,CE13_0
CE14_0,CAZyme,CE,CE14_0
CE15_0,CAZyme,CE,CE15_0
CE16_0,CAZyme,CE,CE16_0
CE17_0,CAZyme,CE,CE17_0
CE19_0,CAZyme,CE,CE19_0
CE2_0,CAZyme,CE,CE2_0
CE20_0,CAZyme,CE,CE20_0
CE3_0,CAZyme,CE,CE3_0
CE4_0,CAZyme,CE,CE4_0
CE5_0,CAZyme,CE,CE5_0
CE6_0,CAZyme,CE,CE6_0
CE7_0,CAZyme,CE,CE7_0
CE8_0,CAZyme,CE,CE8_0
CE9_0,CAZyme,CE,CE9_0
cellulosomecohesin_0,CAZyme,cellulosome,cellulosomecohesin_0
cellulosomedockerin_0,CAZyme,cellulosome,cellulosomedockerin_0
cellulosomeSLH_0,CAZyme,cellulosome,cellulosomeSLH_0
GH1_0,CAZyme,GH,GH1_0
GH10_0,CAZyme,GH,GH10_0
GH100_0,CAZyme,GH,GH100_0
GH101_0,CAZyme,GH,GH101_0
GH102_0,CAZyme,GH,GH102_0
GH103_0,CAZyme,GH,GH103_0
GH104_0,CAZyme,GH,GH104_0
GH105_0,CAZyme,GH,GH105_0
GH106_0,CAZyme,GH,GH106_0
GH107_0,CAZyme,GH,GH107_0
GH108_0,CAZyme,GH,GH108_0
GH109_0,CAZyme,GH,GH109_0
GH11_0,CAZyme,GH,GH11_0
GH110_0,CAZyme,GH,GH110_0
GH111_0,CAZyme,GH,GH111_0
GH112_0,CAZyme,GH,GH112_0
GH113_0,CAZyme,GH,GH113_0
GH114_0,CAZyme,GH,GH114_0
GH115_0,CAZyme,GH,GH115_0
GH116_0,CAZyme,GH,GH116_0
GH117_0,CAZyme,GH,GH117_0
GH119_0,CAZyme,GH,GH119_0
GH12_0,CAZyme,GH,GH12_0
GH120_0,CAZyme,GH,GH120_0
GH121_0,CAZyme,GH,GH121_0
GH123_0,CAZyme,GH,GH123_0
GH124_0,CAZyme,GH,GH124_0
GH125_0,CAZyme,GH,GH125_0
GH126_0,CAZyme,GH,GH126_0
GH127_0,CAZyme,GH,GH127_0
GH128_0,CAZyme,GH,GH128_0
GH129_0,CAZyme,GH,GH129_0
GH13_0,CAZyme,GH,GH13_0
GH13_1,CAZyme,GH,GH13_1
GH13_10,CAZyme,GH,GH13_10
GH13_11,CAZyme,GH,GH13_11
GH13_12,CAZyme,GH,GH13_12
GH13_13,CAZyme,GH,GH13_13
GH13_14,CAZyme,GH,GH13_14
GH13_16,CAZyme,GH,GH13_16
GH13_18,CAZyme,GH,GH13_18
GH13_19,CAZyme,GH,GH13_19
GH13_2,CAZyme,GH,GH13_2
GH13_20,CAZyme,GH,GH13_20
GH13_21,CAZyme,GH,GH13_21
GH13_23,CAZyme,GH,GH13_23
GH13_26,CAZyme,GH,GH13_26
GH13_27,CAZyme,GH,GH13_27
GH13_28,CAZyme,GH,GH13_28
GH13_29,CAZyme,GH,GH13_29
GH13_3,CAZyme,GH,GH13_3
GH13_30,CAZyme,GH,GH13_30
GH13_31,CAZyme,GH,GH13_31
GH13_32,CAZyme,GH,GH13_32
GH13_33,CAZyme,GH,GH13_33
GH13_34,CAZyme,GH,GH13_34
GH13_36,CAZyme,GH,GH13_36
GH13_37,CAZyme,GH,GH13_37
GH13_38,CAZyme,GH,GH13_38
GH13_39,CAZyme,GH,GH13_39
GH13_4,CAZyme,GH,GH13_4
GH13_41,CAZyme,GH,GH13_41
GH13_42,CAZyme,GH,GH13_42
GH13_5,CAZyme,GH,GH13_5
GH13_6,CAZyme,GH,GH13_6
GH13_7,CAZyme,GH,GH13_7
GH13_8,CAZyme,GH,GH13_8
GH13_9,CAZyme,GH,GH13_9
GH130_0,CAZyme,GH,GH130_0
GH131_0,CAZyme,GH,GH131_0
GH133_0,CAZyme,GH,GH133_0
GH134_0,CAZyme,GH,GH134_0
GH136_0,CAZyme,GH,GH136_0
GH137_0,CAZyme,GH,GH137_0
GH138_0,CAZyme,GH,GH138_0
GH139_0,CAZyme,GH,GH139_0
GH14_0,CAZyme,GH,GH14_0
GH140_0,CAZyme,GH,GH140_0
GH141_0,CAZyme,GH,GH141_0
GH142_0,CAZyme,GH,GH142_0
GH143_0,CAZyme,GH,GH143_0
GH144_0,CAZyme,GH,GH144_0
GH146_0,CAZyme,GH,GH146_0
GH147_0,CAZyme,GH,GH147_0
GH148_0,CAZyme,GH,GH148_0
GH149_0,CAZyme,GH,GH149_0
GH15_0,CAZyme,GH,GH15_0
GH151_0,CAZyme,GH,GH151_0
GH153_0,CAZyme,GH,GH153_0
GH154_0,CAZyme,GH,GH154_0
GH156_0,CAZyme,GH,GH156_0
GH157_0,CAZyme,GH,GH157_0
GH158_0,CAZyme,GH,GH158_0
GH159_0,CAZyme,GH,GH159_0
GH16_0,CAZyme,GH,GH16_0
GH16_1,CAZyme,GH,GH16_1
GH16_10,CAZyme,GH,GH16_10
GH16_13,CAZyme,GH,GH16_13
GH16_14,CAZyme,GH,GH16_14
GH16_15,CAZyme,GH,GH16_15
GH16_16,CAZyme,GH,GH16_16
GH16_17,CAZyme,GH,GH16_17
GH16_18,CAZyme,GH,GH16_18
GH16_19,CAZyme,GH,GH16_19
GH16_20,CAZyme,GH,GH16_20
GH16_21,CAZyme,GH,GH16_21
GH16_22,CAZyme,GH,GH16_22
GH16_23,CAZyme,GH,GH16_23
GH16_24,CAZyme,GH,GH16_24
GH16_25,CAZyme,GH,GH16_25
GH16_26,CAZyme,GH,GH16_26
GH16_27,CAZyme,GH,GH16_27
GH16_3,CAZyme,GH,GH16_3
GH16_5,CAZyme,GH,GH16_5
GH16_6,CAZyme,GH,GH16_6
GH16_7,CAZyme,GH,GH16_7
GH160_0,CAZyme,GH,GH160_0
GH161_0,CAZyme,GH,GH161_0
GH163_0,CAZyme,GH,GH163_0
GH164_0,CAZyme,GH,GH164_0
GH165_0,CAZyme,GH,GH165_0
GH166_0,CAZyme,GH,GH166_0
GH167_0,CAZyme,GH,GH167_0
GH168_0,CAZyme,GH,GH168_0
GH169_0,CAZyme,GH,GH169_0
GH17_0,CAZyme,GH,GH17_0
GH170_0,CAZyme,GH,GH170_0
GH171_0,CAZyme,GH,GH171_0
GH172_0,CAZyme,GH,GH172_0
GH173_0,CAZyme,GH,GH173_0
GH18_0,CAZyme,GH,GH18_0
GH19_0,CAZyme,GH,GH19_0
GH2_0,CAZyme,GH,GH2_0
GH20_0,CAZyme,GH,GH20_0
GH22_0,CAZyme,GH,GH22_0
GH23_0,CAZyme,GH,GH23_0
GH24_0,CAZyme,GH,GH24_0
GH25_0,CAZyme,GH,GH25_0
GH26_0,CAZyme,GH,GH26_0
GH27_0,CAZyme,GH,GH27_0
GH28_0,CAZyme,GH,GH28_0
GH29_0,CAZyme,GH,GH29_0
GH3_0,CAZyme,GH,GH3_0
GH30_0,CAZyme,GH,GH30_0
GH30_1,CAZyme,GH,GH30_1
GH30_2,CAZyme,GH,GH30_2
GH30_3,CAZyme,GH,GH30_3
GH30_4,CAZyme,GH,GH30_4
GH30_5,CAZyme,GH,GH30_5
GH30_6,CAZyme,GH,GH30_6
GH30_7,CAZyme,GH,GH30_7
GH30_8,CAZyme,GH,GH30_8
GH31_0,CAZyme,GH,GH31_0
GH32_0,CAZyme,GH,GH32_0
GH33_0,CAZyme,GH,GH33_0
GH35_0,CAZyme,GH,GH35_0
GH36_0,CAZyme,GH,GH36_0
GH37_0,CAZyme,GH,GH37_0
GH38_0,CAZyme,GH,GH38_0
GH39_0,CAZyme,GH,GH39_0
GH4_0,CAZyme,GH,GH4_0
GH42_0,CAZyme,GH,GH42_0
GH43_0,CAZyme,GH,GH43_0
GH43_1,CAZyme,GH,GH43_1
GH43_10,CAZyme,GH,GH43_10
GH43_11,CAZyme,GH,GH43_11
GH43_12,CAZyme,GH,GH43_12
GH43_15,CAZyme,GH,GH43_15
GH43_16,CAZyme,GH,GH43_16
GH43_17,CAZyme,GH,GH43_17
GH43_18,CAZyme,GH,GH43_18
GH43_19,CAZyme,GH,GH43_19
GH43_2,CAZyme,GH,GH43_2
GH43_20,CAZyme,GH,GH43_20
GH43_22,CAZyme,GH,GH43_22
GH43_23,CAZyme,GH,GH43_23
GH43_24,CAZyme,GH,GH43_24
GH43_26,CAZyme,GH,GH43_26
GH43_27,CAZyme,GH,GH43_27
GH43_28,CAZyme,GH,GH43_28
GH43_29,CAZyme,GH,GH43_29
GH43_3,CAZyme,GH,GH43_3
GH43_30,CAZyme,GH,GH43_30
GH43_31,CAZyme,GH,GH43_31
GH43_32,CAZyme,GH,GH43_32
GH43_33,CAZyme,GH,GH43_33
GH43_34,CAZyme,GH,GH43_34
GH43_35,CAZyme,GH,GH43_35
GH43_37,CAZyme,GH,GH43_37
GH43_4,CAZyme,GH,GH43_4
GH43_5,CAZyme,GH,GH43_5
GH43_7,CAZyme,GH,GH43_7
GH43_8,CAZyme,GH,GH43_8
GH43_9,CAZyme,GH,GH43_9
GH44_0,CAZyme,GH,GH44_0
GH45_0,CAZyme,GH,GH45_0
GH46_0,CAZyme,GH,GH46_0
GH47_0,CAZyme,GH,GH47_0
GH48_0,CAZyme,GH,GH48_0
GH49_0,CAZyme,GH,GH49_0
GH5_0,CAZyme,GH,GH5_0
GH5_1,CAZyme,GH,GH5_1
GH5_10,CAZyme,GH,GH5_10
GH5_13,CAZyme,GH,GH5_13
GH5_17,CAZyme,GH,GH5_17
GH5_18,CAZyme,GH,GH5_18
GH5_19,CAZyme,GH,GH5_19
GH5_2,CAZyme,GH,GH5_2
GH5_21,CAZyme,GH,GH5_21
GH5_22,CAZyme,GH,GH5_22
GH5_25,CAZyme,GH,GH5_25
GH5_26,CAZyme,GH,GH5_26
GH5_28,CAZyme,GH,GH5_28
GH5_29,CAZyme,GH,GH5_29
GH5_34,CAZyme,GH,GH5_34
GH5_35,CAZyme,GH,GH5_35
GH5_36,CAZyme,GH,GH5_36
GH5_37,CAZyme,GH,GH5_37
GH5_38,CAZyme,GH,GH5_38
GH5_39,CAZyme,GH,GH5_39
GH5_4,CAZyme,GH,GH5_4
GH5_40,CAZyme,GH,GH5_40
GH5_41,CAZyme,GH,GH5_41
GH5_42,CAZyme,GH,GH5_42
GH5_44,CAZyme,GH,GH5_44
GH5_45,CAZyme,GH,GH5_45
GH5_46,CAZyme,GH,GH5_46
GH5_47,CAZyme,GH,GH5_47
GH5_48,CAZyme,GH,GH5_48
GH5_5,CAZyme,GH,GH5_5
GH5_54,CAZyme,GH,GH5_54
GH5_55,CAZyme,GH,GH5_55
GH5_56,CAZyme,GH,GH5_56
GH5_7,CAZyme,GH,GH5_7
GH5_8,CAZyme,GH,GH5_8
GH50_0,CAZyme,GH,GH50_0
GH51_0,CAZyme,GH,GH51_0
GH52_0,CAZyme,GH,GH52_0
GH53_0,CAZyme,GH,GH53_0
GH54_0,CAZyme,GH,GH54_0
GH55_0,CAZyme,GH,GH55_0
GH57_0,CAZyme,GH,GH57_0
GH59_0,CAZyme,GH,GH59_0
GH63_0,CAZyme,GH,GH63_0
GH64_0,CAZyme,GH,GH64_0
GH65_0,CAZyme,GH,GH65_0
GH66_0,CAZyme,GH,GH66_0
GH67_0,CAZyme,GH,GH67_0
GH68_0,CAZyme,GH,GH68_0
GH70_0,CAZyme,GH,GH70_0
GH71_0,CAZyme,GH,GH71_0
GH72_0,CAZyme,GH,GH72_0
GH73_0,CAZyme,GH,GH73_0
GH74_0,CAZyme,GH,GH74_0
GH75_0,CAZyme,GH,GH75_0
GH76_0,CAZyme,GH,GH76_0
GH77_0,CAZyme,GH,GH77_0
GH78_0,CAZyme,GH,GH78_0
GH79_0,CAZyme,GH,GH79_0
GH8_0,CAZyme,GH,GH8_0
GH81_0,CAZyme,GH,GH81_0
GH82_0,CAZyme,GH,GH82_0
GH84_0,CAZyme,GH,GH84_0
GH85_0,CAZyme,GH,GH85_0
GH86_0,CAZyme,GH,GH86_0
GH87_0,CAZyme,GH,GH87_0
GH88_0,CAZyme,GH,GH88_0
GH89_0,CAZyme,GH,GH89_0
GH9_0,CAZyme,GH,GH9_0
GH91_0,CAZyme,GH,GH91_0
GH92_0,CAZyme,GH,GH92_0
GH93_0,CAZyme,GH,GH93_0
GH94_0,CAZyme,GH,GH94_0
GH95_0,CAZyme,GH,GH95_0
GH97_0,CAZyme,GH,GH97_0
GH98_0,CAZyme,GH,GH98_0
GH99_0,CAZyme,GH,GH99_0
GT1_0,CAZyme,GT,GT1_0
GT10_0,CAZyme,GT,GT10_0
GT100_0,CAZyme,GT,GT100_0
GT101_0,CAZyme,GT,GT101_0
GT102_0,CAZyme,GT,GT102_0
GT103_0,CAZyme,GT,GT103_0
GT104_0,CAZyme,GT,GT104_0
GT105_0,CAZyme,GT,GT105_0
GT107_0,CAZyme,GT,GT107_0
GT108_0,CAZyme,GT,GT108_0
GT11_0,CAZyme,GT,GT11_0
GT111_0,CAZyme,GT,GT111_0
GT112_0,CAZyme,GT,GT112_0
GT113_0,CAZyme,GT,GT113_0
GT114_0,CAZyme,GT,GT114_0
GT115_0,CAZyme,GT,GT115_0
GT12_0,CAZyme,GT,GT12_0
GT13_0,CAZyme,GT,GT13_0
GT14_0,CAZyme,GT,GT14_0
GT15_0,CAZyme,GT,GT15_0
GT17_0,CAZyme,GT,GT17_0
GT19_0,CAZyme,GT,GT19_0
GT2_0,CAZyme,GT,GT2_0
GT2_1,CAZyme,GT,GT2_1
GT2_2,CAZyme,GT,GT2_2
GT2_3,CAZyme,GT,GT2_3
GT2_4,CAZyme,GT,GT2_4
GT2_5,CAZyme,GT,GT2_5
GT2_synt,CAZyme,GT,GT2_synt
GT20_0,CAZyme,GT,GT20_0
GT21_0,CAZyme,GT,GT21_0
GT22_0,CAZyme,GT,GT22_0
GT23_0,CAZyme,GT,GT23_0
GT25_0,CAZyme,GT,GT25_0
GT26_0,CAZyme,GT,GT26_0
GT27_0,CAZyme,GT,GT27_0
GT28_0,CAZyme,GT,GT28_0
GT29_0,CAZyme,GT,GT29_0
GT3_0,CAZyme,GT,GT3_0
GT30_0,CAZyme,GT,GT30_0
GT31_0,CAZyme,GT,GT31_0
GT32_0,CAZyme,GT,GT32_0
GT33_0,CAZyme,GT,GT33_0
GT35_0,CAZyme,GT,GT35_0
GT38_0,CAZyme,GT,GT38_0
GT39_0,CAZyme,GT,GT39_0
GT4_0,CAZyme,GT,GT4_0
GT40_0,CAZyme,GT,GT40_0
GT41_0,CAZyme,GT,GT41_0
GT42_0,CAZyme,GT,GT42_0
GT44_0,CAZyme,GT,GT44_0
GT45_0,CAZyme,GT,GT45_0
GT5_0,CAZyme,GT,GT5_0
GT50_0,CAZyme,GT,GT50_0
GT51_0,CAZyme,GT,GT51_0
GT52_0,CAZyme,GT,GT52_0
GT56_0,CAZyme,GT,GT56_0
GT57_0,CAZyme,GT,GT57_0
GT6_0,CAZyme,GT,GT6_0
GT60_0,CAZyme,GT,GT60_0
GT61_0,CAZyme,GT,GT61_0
GT62_0,CAZyme,GT,GT62_0
GT64_0,CAZyme,GT,GT64_0
GT66_0,CAZyme,GT,GT66_0
GT7_0,CAZyme,GT,GT7_0
GT70_0,CAZyme,GT,GT70_0
GT73_0,CAZyme,GT,GT73_0
GT75_0,CAZyme,GT,GT75_0
GT76_0,CAZyme,GT,GT76_0
GT77_0,CAZyme,GT,GT77_0
GT8_0,CAZyme,GT,GT8_0
GT80_0,CAZyme,GT,GT80_0
GT81_0,CAZyme,GT,GT81_0
GT82_0,CAZyme,GT,GT82_0
GT83_0,CAZyme,GT,GT83_0
GT84_0,CAZyme,GT,GT84_0
GT87_0,CAZyme,GT,GT87_0
GT89_0,CAZyme,GT,GT89_0
GT9_0,CAZyme,GT,GT9_0
GT90_0,CAZyme,GT,GT90_0
GT92_0,CAZyme,GT,GT92_0
GT93_0,CAZyme,GT,GT93_0
GT94_0,CAZyme,GT,GT94_0
GT99_0,CAZyme,GT,GT99_0
PL1_0,CAZyme,PL,PL1_0
PL1_1,CAZyme,PL,PL1_1
PL1_10,CAZyme,PL,PL1_10
PL1_11,CAZyme,PL,PL1_11
PL1_12,CAZyme,PL,PL1_12
PL1_13,CAZyme,PL,PL1_13
PL1_2,CAZyme,PL,PL1_2
PL1_4,CAZyme,PL,PL1_4
PL1_5,CAZyme,PL,PL1_5
PL1_6,CAZyme,PL,PL1_6
PL1_7,CAZyme,PL,PL1_7
PL1_8,CAZyme,PL,PL1_8
PL1_9,CAZyme,PL,PL1_9
PL10_0,CAZyme,PL,PL10_0
PL10_1,CAZyme,PL,PL10_1
PL10_2,CAZyme,PL,PL10_2
PL11_0,CAZyme,PL,PL11_0
PL11_1,CAZyme,PL,PL11_1
PL11_2,CAZyme,PL,PL11_2
PL12_0,CAZyme,PL,PL12_0
PL12_1,CAZyme,PL,PL12_1
PL12_2,CAZyme,PL,PL12_2
PL12_3,CAZyme,PL,PL12_3
PL14_0,CAZyme,PL,PL14_0
PL14_1,CAZyme,PL,PL14_1
PL14_3,CAZyme,PL,PL14_3
PL14_4,CAZyme,PL,PL14_4
PL15_0,CAZyme,PL,PL15_0
PL15_1,CAZyme,PL,PL15_1
PL15_2,CAZyme,PL,PL15_2
PL17_0,CAZyme,PL,PL17_0
PL17_1,CAZyme,PL,PL17_1
PL17_2,CAZyme,PL,PL17_2
PL18_0,CAZyme,PL,PL18_0
PL2_0,CAZyme,PL,PL2_0
PL2_1,CAZyme,PL,PL2_1
PL20_0,CAZyme,PL,PL20_0
PL21_0,CAZyme,PL,PL21_0
PL21_1,CAZyme,PL,PL21_1
PL22_0,CAZyme,PL,PL22_0
PL22_1,CAZyme,PL,PL22_1
PL22_2,CAZyme,PL,PL22_2
PL25_0,CAZyme,PL,PL25_0
PL26_0,CAZyme,PL,PL26_0
PL27_0,CAZyme,PL,PL27_0
PL29_0,CAZyme,PL,PL29_0
PL3_0,CAZyme,PL,PL3_0
PL3_1,CAZyme,PL,PL3_1
PL3_2,CAZyme,PL,PL3_2
PL3_3,CAZyme,PL,PL3_3
PL3_4,CAZyme,PL,PL3_4
PL3_5,CAZyme,PL,PL3_5
PL30_0,CAZyme,PL,PL30_0
PL31_0,CAZyme,PL,PL31_0
PL32_0,CAZyme,PL,PL32_0
PL33_0,CAZyme,PL,PL33_0
PL33_1,CAZyme,PL,PL33_1
PL33_2,CAZyme,PL,PL33_2
PL34_0,CAZyme,PL,PL34_0
PL35_0,CAZyme,PL,PL35_0
PL36_0,CAZyme,PL,PL36_0
PL36_1,CAZyme,PL,PL36_1
PL36_2,CAZyme,PL,PL36_2
PL37_0,CAZyme,PL,PL37_0
PL38_0,CAZyme,PL,PL38_0
PL39_0,CAZyme,PL,PL39_0
PL4_0,CAZyme,PL,PL4_0
PL4_1,CAZyme,PL,PL4_1
PL4_4,CAZyme,PL,PL4_4
PL40_0,CAZyme,PL,PL40_0
PL41_0,CAZyme,PL,PL41_0
PL42_0,CAZyme,PL,PL42_0
PL5_1,CAZyme,PL,PL5_1
PL6_0,CAZyme,PL,PL6_0
PL6_1,CAZyme,PL,PL6_1
PL7_0,CAZyme,PL,PL7_0
PL7_1,CAZyme,PL,PL7_1
PL7_3,CAZyme,PL,PL7_3
PL8_0,CAZyme,PL,PL8_0
PL8_2,CAZyme,PL,PL8_2
PL8_3,CAZyme,PL,PL8_3
PL9_0,CAZyme,PL,PL9_0
PL9_1,CAZyme,PL,PL9_1
PL9_2,CAZyme,PL,PL9_2
PL9_3,CAZyme,PL,PL9_3
PL9_4,CAZyme,PL,PL9_4
Blon_0104,HMO,Urease,Blon_0104
Blon_0105,HMO,Urease,Blon_0105
Blon_0106,HMO,Urease,Blon_0106
Blon_0108,HMO,Urease,Blon_0108
Blon_0109,HMO,Urease,Blon_0109
Blon_0110,HMO,Urease,Blon_0110
Blon_0243,HMO,H2,Blon_0243
Blon_0244,HMO,H2,Blon_0244
Blon_0245,HMO,H2,Blon_0245
Blon_0247 Blon_0425,HMO,H3,Blon_0247 Blon_0425
Blon_0248,HMO,H2,Blon_0248
Blon_0423,HMO,H3,Blon_0423
Blon_0426,HMO,H3,Blon_0426
Blon_0625,HMO,H4,Blon_0625
Blon_0641,HMO,H4,Blon_0641
Blon_0642,HMO,H4,Blon_0642
Blon_0643,HMO,H4,Blon_0643
Blon_0644,HMO,H4,Blon_0644
Blon_0646,HMO,H4,Blon_0646
Blon_0647,HMO,H4,Blon_0647
Blon_0648,HMO,H4,Blon_0648
Blon_0649,HMO,H4,Blon_0649
Blon_0650,HMO,H4,Blon_0650
Blon_0651,HMO,H4,Blon_0651
Blon_2171,HMO,H5,Blon_2171
Blon_2173,HMO,H5,Blon_2173
Blon_2174,HMO,H5,Blon_2174
Blon_2175,HMO,H5,Blon_2175
Blon_2176,HMO,H5,Blon_2176
Blon_2177,HMO,H5,Blon_2177
Blon_2331,HMO,H1,Blon_2331
Blon_2332,HMO,H1,Blon_2332
Blon_2334,HMO,H1,Blon_2334
Blon_2336,HMO,H1,Blon_2336
Blon_2342 Blon_2345,HMO,H1,Blon_2342 Blon_2345
Blon_2343 Blon_2346,HMO,H1,Blon_2343 Blon_2346
Blon_2347,HMO,H1,Blon_2347
Blon_2348,HMO,H1,Blon_2348
Blon_2350,HMO,H1,Blon_2350
Blon_2351,HMO,H1,Blon_2351
Blon_2352,HMO,H1,Blon_2352
Blon_2354,HMO,H1,Blon_2354
Blon_2355,HMO,H1,Blon_2355
Blon_2357,HMO,H1,Blon_2357
Blon_2359,HMO,H1,Blon_2359
Blon_2360,HMO,H1,Blon_2360
Blon_2361,HMO,H1,Blon_2361
galT Blon_2172,HMO,H5,galT Blon_2172
nanE Blon_0645,HMO,H4,nanE Blon_0645
ureC Blon_0111,HMO,Urease,ureC Blon_0111
ureE Blon_0112 BLIJ_0113,HMO,Urease,ureE Blon_0112 BLIJ_0113
ureF Blon_0113,HMO,Urease,ureF Blon_0113
ureG Blon_0114,HMO,Urease,ureG Blon_0114
K00001,KEGG,EC:1.1,K00001
K00003,KEGG,EC:1.1,K00003
K00004,KEGG,EC:1.1,K00004
K00005,KEGG,EC:1.1,K00005
K00007,KEGG,EC:1.1,K00007
K00008,KEGG,EC:1.1,K00008
K00009,KEGG,EC:1.1,K00009
K00010,KEGG,EC:1.1,K00010
K00012,KEGG,EC:1.1,K00012
K00013,KEGG,EC:1.1,K00013
K00014,KEGG,EC:1.1,K00014
K00015,KEGG,EC:1.1,K00015
K00016,KEGG,EC:1.1,K00016
K00018,KEGG,EC:1.1,K00018
K00019,KEGG,EC:1.1,K00019
K00020,KEGG,EC:1.1,K00020
K00021,KEGG,EC:1.1,K00021
K00023,KEGG,EC:1.1,K00023
